IdProject,IdCompany,IdManager,IdSupportProgram,LoanAmount,IdIndustry,IdStatus,IdSubindustry,IdRegion,ApplicationNumber,ProjectName,Locality,LoanAgreementDate,IdBudget,LoanAgreementPayement,IdRegionalFund
2516,2514,NULL,115,430000.0000,616,391056,20851,136,21,Наименование проекта2516,Красногорский район,NULL,0,NULL,NULL
2549,2547,NULL,115,290000.0000,611,391056,3667,152,25,Наименование проекта2549,Санкт-Петербург,NULL,2,NULL,NULL
2580,2547,NULL,115,490000.0000,616,391056,20854,152,24,Наименование проекта2580,"пр. Энгельса, д.27 ",NULL,2,NULL,NULL
2614,2612,1273,692,269288.0000,603,391056,3602,130,247,Наименование проекта2614,Волхов,NULL,1,NULL,NULL
2649,2647,NULL,115,138450.0000,602,391056,3597,159,491,Наименование проекта2649,г. Вязьма,NULL,0,NULL,NULL
2682,2680,NULL,115,1680000.0000,607,391056,3643,98,76,Наименование проекта2682,"Устьянский район, п. Октябрьский",NULL,2,NULL,NULL
2713,2680,NULL,115,720000.0000,604,391056,3605,98,75,Наименование проекта2713,"Устьянский район, п. Октябрьский",NULL,2,NULL,NULL
2746,2744,NULL,692,300000.0000,606,391056,3619,135,470,Наименование проекта2746,г. Москва,NULL,1,NULL,NULL
2779,2777,NULL,115,210000.0000,607,391056,3633,162,233,Наименование проекта2779,Зеленодольск,NULL,2,NULL,NULL
2812,2810,NULL,115,163700.0000,593,391056,3569,136,375,Наименование проекта2812,Чехов,NULL,2,NULL,NULL
2845,2843,7936,115,500000.0000,607,20761,3629,106,635,Наименование проекта2845,г. Вологда,2015-10-23,1,2015-10-27,NULL
2878,2876,3702,115,80000.0000,616,20761,20850,104,543,Наименование проекта2878," Владимир",2015-12-11,1,2015-12-16,NULL
2911,2909,NULL,117,7000.0000,594,391056,3572,163,488,Наименование проекта2911,ТВЕРЬ,NULL,2,NULL,NULL
2944,2942,NULL,115,81000.0000,618,391056,0,107,387,Наименование проекта2944,Воронеж,NULL,1,NULL,NULL
2977,2975,NULL,115,300000.0000,618,391056,0,152,79,Наименование проекта2977,Санкт-Петербург,NULL,2,NULL,NULL
3010,3008,NULL,115,70000.0000,607,391056,3641,152,604,Наименование проекта3010,Колпино,NULL,2,NULL,NULL
3043,3041,8320,115,150000.0000,607,20761,3628,178,627,Наименование проекта3043,г. Ярославль,2015-12-17,1,2015-12-21,NULL
3076,3074,NULL,692,500000.0000,607,391056,3635,163,629,Наименование проекта3076,г. Тверь,NULL,1,NULL,NULL
3109,3107,NULL,116,700000.0000,607,391056,3641,172,333,Наименование проекта3109,г. Нефтеюганск,NULL,2,NULL,NULL
3143,3141,NULL,692,163435.0000,593,391056,3570,154,617,Наименование проекта3143,Якутск,NULL,2,NULL,NULL
3176,36304,NULL,115,102408.0000,611,3126344,3666,162,168,Наименование проекта3176,г.Казань,NULL,1,NULL,NULL
3209,3207,NULL,116,700000.0000,598,391056,3580,162,576,Наименование проекта3209,Казань,NULL,0,NULL,NULL
