Id,IndustryName,IdReportIndustry
591,"Производство текстильных изделий                                                                                                                      ",5
592,"Производство одежды                                                                                                                                   ",5
593,"Производство кожи и изделий из кожи                                                                                                                   ",5
594,"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения                ",12
595,"Производство бумаги и бумажных изделий                                                                                                                ",12
598,"Производство химических веществ и химических продуктов                                                                                                ",4
600,"Производство лекарственных средств и материалов, применяемых в медицинских целях                                                                      ",2
601,"Производство резиновых и пластмассовых изделий                                                                                                        ",4
602,"Производство неметаллической минеральной продукции                                                                                                    ",11
603,"Производство металлургическое                                                                                                                         ",3
604,"Производство готовых металлических изделий, кроме машин и оборудования                                                                                ",3
606,"Производство электрического оборудования                                                                                                              ",8
607,"Производство машин и оборудования                                                                                                                     ",1
608,"Производство транспортных средств и комплектующих изделий                                                                                             ",1
609,"Производство мебели и прочих готовых изделий                                                                                                          ",13
610,"Производство новых материалов                                                                                                                         ",6
611,"Производство медицинских изделий, инструментов и оборудования                                                                                         ",2
614,"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги                             ",9
615,"Деятельность в области информационных технологий                                                                                                      ",9
616,"Производство компьютеров, электронных и оптических изделий                                                                                            ",7
617,"Поддержание экологии, сбор и утилизации отходов                                                                                                       ",10
618,"Прочие отрасли промышленности                                                                                                                         ",13
743,"Ремонт и монтаж машин и оборудования                                                                                                                  ",1
744,"Производство пищевых продуктов в части промышленных биотехнологий                                                                                     ",14
