Id,ReportIndustryName
1,"Машиностроение                                                                                                                                                                                          "
2,"Медбиофарма                                                                                                                                                                                             "
3,"Металлобработка/Металлургия                                                                                                                                                                             "
4,"Химия                                                                                                                                                                                                   "
5,"Легкая промышленность                                                                                                                                                                                   "
6,"Новые материалы                                                                                                                                                                                         "
7,"Электроника                                                                                                                                                                                             "
8,"Электрическое оборудование                                                                                                                                                                              "
9,"IT                                                                                                                                                                                                      "
10,"Экология                                                                                                                                                                                                "
11,"Стройматериалы                                                                                                                                                                                          "
12,"Лесная промышленность                                                                                                                                                                                   "
13,"Производство мебели и проч. изделий                                                                                                                                                                     "
14,"Промышленные биотехнологии                                                                                                                                                                              "
