IdProject,LoanAmount,IdIndustry,IdReportIndustry,ReportIndName
2845,500000.0000,607,1,Машиностроение
2878,80000.0000,616,7,Электроника
3043,150000.0000,607,1,Машиностроение
3750,500000.0000,603,3,Металлобработка/Металлургия
4387,300000.0000,600,2,Медбиофарма
4592,106810.0000,606,8,Электрическое оборудование
5414,297000.0000,608,1,Машиностроение
5738,195000.0000,616,7,Электроника
5935,500000.0000,616,7,Электроника
6649,200000.0000,607,1,Машиностроение
7144,184800.0000,607,1,Машиностроение
8189,300000.0000,606,8,Электрическое оборудование
8549,120000.0000,607,1,Машиностроение
8679,300000.0000,591,5,Легкая промышленность
8844,144355.0000,604,3,Металлобработка/Металлургия
9761,270564.0000,593,5,Легкая промышленность
9928,90000.0000,616,7,Электроника
9994,500000.0000,606,8,Электрическое оборудование
10159,280000.0000,603,3,Металлобработка/Металлургия
10225,200000.0000,607,1,Машиностроение
10423,500000.0000,606,8,Электрическое оборудование
10555,107000.0000,607,1,Машиностроение
10588,300000.0000,608,1,Машиностроение
11327,330000.0000,606,8,Электрическое оборудование
11460,50000.0000,602,11,Стройматериалы
11493,168368.0000,607,1,Машиностроение
12374,50000.0000,603,3,Металлобработка/Металлургия
13193,300000.0000,608,1,Машиностроение
13226,274164.0000,607,1,Машиностроение
13325,183157.0000,600,2,Медбиофарма
14078,500000.0000,608,1,Машиностроение
14210,500000.0000,600,2,Медбиофарма
14590,298979.0000,610,6,Новые материалы
15645,500000.0000,600,2,Медбиофарма
15678,300000.0000,611,2,Медбиофарма
16136,474000.0000,593,5,Легкая промышленность
17690,186198.0000,607,1,Машиностроение
18252,120000.0000,607,1,Машиностроение
18318,76934.0000,607,1,Машиностроение
18784,300000.0000,608,1,Машиностроение
22430,192000.0000,606,8,Электрическое оборудование
23493,300000.0000,600,2,Медбиофарма
23679,235295.0000,607,1,Машиностроение
23985,150000.0000,611,2,Медбиофарма
25816,500000.0000,607,1,Машиностроение
26420,280000.0000,606,8,Электрическое оборудование
26845,500000.0000,611,2,Медбиофарма
29875,171995.0000,607,1,Машиностроение
30675,500000.0000,600,2,Медбиофарма
30797,300000.0000,600,2,Медбиофарма
33040,235000.0000,607,1,Машиностроение
34278,298000.0000,606,8,Электрическое оборудование
34337,300000.0000,610,6,Новые материалы
34509,250000.0000,611,2,Медбиофарма
36187,500000.0000,616,7,Электроника
36658,75000.0000,608,1,Машиностроение
40087,280000.0000,604,3,Металлобработка/Металлургия
40388,285000.0000,601,4,Химия
40689,300000.0000,610,6,Новые материалы
47230,202440.0000,600,2,Медбиофарма
62905,254000.0000,598,4,Химия
70931,500000.0000,600,2,Медбиофарма
78916,500000.0000,616,7,Электроника
80506,500000.0000,604,3,Металлобработка/Металлургия
90164,500000.0000,606,8,Электрическое оборудование
104682,71445.0000,607,1,Машиностроение
105676,300000.0000,607,1,Машиностроение
108633,400000.0000,608,1,Машиностроение
113228,163000.0000,611,2,Медбиофарма
115469,298830.0000,604,3,Металлобработка/Металлургия
121480,465552.0000,591,5,Легкая промышленность
122679,500000.0000,600,2,Медбиофарма
123481,500000.0000,604,3,Металлобработка/Металлургия
124410,500000.0000,607,1,Машиностроение
124469,300000.0000,607,1,Машиностроение
130965,101800.0000,610,6,Новые материалы
131989,700000.0000,598,4,Химия
133329,110000.0000,606,8,Электрическое оборудование
140764,129238.0000,608,1,Машиностроение
143458,190000.0000,593,5,Легкая промышленность
154219,500000.0000,607,1,Машиностроение
157061,350000.0000,607,1,Машиностроение
161452,340000.0000,603,3,Металлобработка/Металлургия
188387,75000.0000,611,2,Медбиофарма
192223,155000.0000,604,3,Металлобработка/Металлургия
194267,85000.0000,607,1,Машиностроение
204197,300000.0000,600,2,Медбиофарма
210522,67500.0000,609,13,Производство мебели и проч. изделий
214948,117590.0000,606,8,Электрическое оборудование
234661,500000.0000,594,12,Лесная промышленность
235214,240000.0000,607,1,Машиностроение
235616,200000.0000,616,7,Электроника
237684,299693.0000,598,4,Химия
240608,235000.0000,607,1,Машиностроение
242501,300000.0000,591,5,Легкая промышленность
244704,255322.0000,604,3,Металлобработка/Металлургия
258078,300000.0000,607,1,Машиностроение
266710,300000.0000,603,3,Металлобработка/Металлургия
278058,254000.0000,616,7,Электроника
280320,179000.0000,603,3,Металлобработка/Металлургия
317680,297000.0000,591,5,Легкая промышленность
324877,300000.0000,598,4,Химия
347542,500000.0000,600,2,Медбиофарма
357744,50950.0000,593,5,Легкая промышленность
369303,300000.0000,595,12,Лесная промышленность
480829,280000.0000,607,1,Машиностроение
494862,300000.0000,608,1,Машиностроение
495165,300000.0000,607,1,Машиностроение
499238,150000.0000,608,1,Машиностроение
529285,300000.0000,616,7,Электроника
534690,130000.0000,602,11,Стройматериалы
566699,300000.0000,611,2,Медбиофарма
570428,300000.0000,610,6,Новые материалы
574085,62608.0000,607,1,Машиностроение
606586,150000.0000,608,1,Машиностроение
615082,59000.0000,591,5,Легкая промышленность
647126,51800.0000,604,3,Металлобработка/Металлургия
